
> sevenboard@0.1.0 dev:web
> npm run dev -w apps/web


> @sevenboard/web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.6.39:3000
- Environments: .env.local
✓ Ready in 3.5s

 GET / 200 in 269ms (next.js: 8ms, application-code: 261ms)
 GET / 200 in 345ms (next.js: 49ms, application-code: 296ms)
 GET / 200 in 322ms (next.js: 53ms, application-code: 270ms)
 GET / 200 in 245ms (next.js: 17ms, application-code: 229ms)
 GET / 200 in 332ms (next.js: 12ms, application-code: 320ms)
 GET / 200 in 307ms (next.js: 17ms, application-code: 289ms)
 GET / 200 in 245ms (next.js: 18ms, application-code: 227ms)
 GET / 200 in 239ms (next.js: 63ms, application-code: 176ms)
 GET / 200 in 220ms (next.js: 44ms, application-code: 176ms)
 GET / 200 in 150ms (next.js: 9ms, application-code: 141ms)
 GET / 200 in 231ms (next.js: 8ms, application-code: 222ms)
 GET / 200 in 301ms (next.js: 13ms, application-code: 288ms)
 GET / 200 in 267ms (next.js: 11ms, application-code: 256ms)
 GET / 200 in 266ms (next.js: 47ms, application-code: 219ms)
 GET / 200 in 284ms (next.js: 48ms, application-code: 236ms)
 GET / 200 in 208ms (next.js: 9ms, application-code: 198ms)
 GET / 200 in 301ms (next.js: 9ms, application-code: 292ms)
 GET / 200 in 320ms (next.js: 15ms, application-code: 305ms)
 GET / 200 in 257ms (next.js: 14ms, application-code: 243ms)
 GET / 200 in 256ms (next.js: 61ms, application-code: 195ms)
 GET / 200 in 211ms (next.js: 20ms, application-code: 191ms)
 GET / 200 in 215ms (next.js: 58ms, application-code: 157ms)
 GET / 200 in 252ms (next.js: 7ms, application-code: 245ms)
 GET / 200 in 252ms (next.js: 12ms, application-code: 240ms)
 GET / 200 in 242ms (next.js: 18ms, application-code: 224ms)
 GET / 200 in 244ms (next.js: 56ms, application-code: 188ms)
 GET / 200 in 209ms (next.js: 7ms, application-code: 203ms)
 GET / 200 in 222ms (next.js: 9ms, application-code: 213ms)
 GET / 200 in 261ms (next.js: 15ms, application-code: 246ms)
 GET / 200 in 260ms (next.js: 16ms, application-code: 244ms)
 GET / 200 in 264ms (next.js: 11ms, application-code: 252ms)
 GET / 200 in 267ms (next.js: 52ms, application-code: 215ms)
 GET / 200 in 233ms (next.js: 8ms, application-code: 225ms)
 GET / 200 in 244ms (next.js: 13ms, application-code: 230ms)
 GET / 200 in 274ms (next.js: 12ms, application-code: 263ms)
 GET / 200 in 253ms (next.js: 17ms, application-code: 236ms)
 GET / 200 in 227ms (next.js: 11ms, application-code: 216ms)
 GET / 200 in 227ms (next.js: 56ms, application-code: 171ms)
 GET / 200 in 180ms (next.js: 6ms, application-code: 174ms)
 GET / 200 in 143ms (next.js: 8ms, application-code: 135ms)
 GET / 200 in 243ms (next.js: 8ms, application-code: 235ms)
 GET / 200 in 210ms (next.js: 8ms, application-code: 203ms)
 GET / 200 in 201ms (next.js: 10ms, application-code: 191ms)
 GET / 200 in 200ms (next.js: 6ms, application-code: 194ms)
 GET / 200 in 205ms (next.js: 12ms, application-code: 193ms)
 GET / 200 in 206ms (next.js: 44ms, application-code: 162ms)
 GET / 200 in 177ms (next.js: 8ms, application-code: 169ms)
 GET / 200 in 230ms (next.js: 7ms, application-code: 223ms)
 GET / 200 in 229ms (next.js: 6ms, application-code: 223ms)
 GET / 200 in 185ms (next.js: 7ms, application-code: 178ms)
 GET / 200 in 241ms (next.js: 13ms, application-code: 228ms)
 GET / 200 in 240ms (next.js: 46ms, application-code: 194ms)
 GET / 200 in 268ms (next.js: 8ms, application-code: 260ms)
 GET / 200 in 264ms (next.js: 9ms, application-code: 256ms)
 GET / 200 in 269ms (next.js: 20ms, application-code: 249ms)
 GET / 200 in 226ms (next.js: 8ms, application-code: 217ms)
 GET / 200 in 266ms (next.js: 8ms, application-code: 258ms)
 GET / 200 in 267ms (next.js: 41ms, application-code: 225ms)
 GET / 200 in 285ms (next.js: 16ms, application-code: 269ms)
 GET / 200 in 244ms (next.js: 10ms, application-code: 234ms)
 GET / 200 in 303ms (next.js: 10ms, application-code: 293ms)
 GET / 200 in 330ms (next.js: 7ms, application-code: 322ms)
 GET / 200 in 295ms (next.js: 7ms, application-code: 288ms)
 GET / 200 in 333ms (next.js: 40ms, application-code: 293ms)
 GET / 200 in 312ms (next.js: 16ms, application-code: 296ms)
 GET / 200 in 243ms (next.js: 12ms, application-code: 231ms)
 GET / 200 in 218ms (next.js: 13ms, application-code: 205ms)
 GET / 200 in 208ms (next.js: 8ms, application-code: 201ms)
 GET / 200 in 174ms (next.js: 13ms, application-code: 161ms)
 GET / 200 in 207ms (next.js: 40ms, application-code: 166ms)
 GET / 200 in 190ms (next.js: 9ms, application-code: 181ms)
 GET / 200 in 260ms (next.js: 9ms, application-code: 252ms)
 GET / 200 in 279ms (next.js: 9ms, application-code: 270ms)
 GET / 200 in 301ms (next.js: 8ms, application-code: 293ms)
 GET / 200 in 305ms (next.js: 56ms, application-code: 249ms)
 GET / 200 in 349ms (next.js: 62ms, application-code: 288ms)
 GET / 200 in 399ms (next.js: 12ms, application-code: 387ms)
 GET / 200 in 405ms (next.js: 15ms, application-code: 391ms)
 GET / 200 in 403ms (next.js: 17ms, application-code: 385ms)
 GET / 200 in 364ms (next.js: 20ms, application-code: 344ms)
 GET / 200 in 334ms (next.js: 13ms, application-code: 321ms)
 GET / 200 in 335ms (next.js: 84ms, application-code: 251ms)
 GET / 200 in 286ms (next.js: 11ms, application-code: 275ms)
 GET / 200 in 267ms (next.js: 13ms, application-code: 254ms)
 GET / 200 in 239ms (next.js: 11ms, application-code: 228ms)
 GET / 200 in 237ms (next.js: 10ms, application-code: 227ms)
 GET / 200 in 230ms (next.js: 13ms, application-code: 217ms)
 GET / 200 in 228ms (next.js: 52ms, application-code: 176ms)
